time|TEMP|ETODAY|unknown40|IAC|VAC|FAC|PAC|ZAC|ETOTAL|HTOTAL|MODE|ERR_GV|ERR_GF|ERR_GZ|ERR_TEMP|ERR_PV1|ERR_GFC1|ERR_MODE|unknown7f
1552743779|33.2|0.37|1712|0.7|233.8|50.03|145|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552743838|33.2|0.38|1766|0.6|233.8|50.01|125|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552743898|33.5|0.38|1769|0.7|234.8|50.02|149|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552743958|33.4|0.38|1792|0.4|233.8|50.02|90|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744018|33.4|0.38|1693|0.4|233.8|50.04|88|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744078|33.2|0.38|1675|0.3|235.8|50.06|80|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744138|33.3|0.38|1672|0.3|236.7|50.06|64|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744198|33.5|0.38|1650|0.3|237.7|50.02|67|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744258|33.3|0.38|1642|0.3|237.7|50.05|75|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744318|33.3|0.38|1699|0.3|237.7|50.04|75|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744378|33.2|0.39|1645|0.4|237.7|50.06|95|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744438|33.4|0.39|1697|0.4|238.7|50.06|109|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744498|33.2|0.39|1696|0.4|239.7|50.04|82|65.535|8960.1|26964|1|0|0|0|0|0|0|0|0
1552744558|33.4|0.39|1688|0.3|236.7|50.03|72|65.535|8960.2|26964|1|0|0|0|0|0|0|0|0
1552744618|33.2|0.39|1688|0.4|237.7|50.04|72|65.535|8960.2|26964|1|0|0|0|0|0|0|0|0
1552744678|33.4|0.39|1668|0.5|237.7|50.06|101|65.535|8960.2|26964|1|0|0|0|0|0|0|0|0
1552744738|33.3|0.39|1683|0.6|237.7|50.06|145|65.535|8960.2|26964|1|0|0|0|0|0|0|0|0
1552744798|33.3|0.39|1735|0.8|239.7|50.05|176|65.535|8960.2|26964|1|0|0|0|0|0|0|0|0
1552744858|33.5|0.4|1743|0.7|238.7|50.04|166|65.535|8960.2|26964|1|0|0|0|0|0|0|0|0
1552744918|33.7|0.4|1751|0.7|239.7|50.05|164|65.535|8960.2|26964|1|0|0|0|0|0|0|0|0
